Algorithm,Sensitivity,Specificity,Precision,FMeasure,NormalPrecision,NormalFMeasure,AUCROC
ann,0.881,0.971,0.134,0.232,0.999,0.985,0.967,0.146
rpart,0.893,0.969,0.124,0.218,0.999,0.984,0.942,0.503
svmRadial,0.919,0.958,0.0792,0.146,1,0.978,0.983,0.549
svmLinear,0.951,0.938,0.0714,0.133,1,0.968,0.977,0.245
svmRadial,0.809,0.955,0.0825,0.15,0.999,0.977,0.976,0.405
randomForest,0.947,0.969,0.131,0.23,1,0.984,0.992,0.684
svmLinear,0.891,0.961,0.0676,0.126,1,0.98,0.974,0.158
ann,0.924,0.92,0.0354,0.0682,1,0.958,0.952,0.0715
rpart,0.909,0.96,0.0669,0.125,1,0.979,0.964,0.468
randomForest,0.949,0.969,0.0896,0.164,1,0.984,0.99,0.645
svmRadial,0.851,0.973,0.0922,0.166,1,0.986,0.977,0.518
naiveBayes,0.909,0.937,0.0403,0.0773,1,0.967,0.961,0.086
svmLinear,0.858,0.955,0.0319,0.0615,1,0.977,0.97,0.0873
naiveBayes,0.954,0.91,0.0364,0.0701,1,0.953,0.975,0.127
ann,0.836,0.915,0.0166,0.0326,1,0.956,0.907,0.055
randomForest,0.902,0.969,0.0476,0.0905,1,0.984,0.986,0.469
rpart,0.826,0.967,0.0409,0.0779,1,0.983,0.948,0.434
naiveBayes,0.907,0.932,0.0503,0.0953,1,0.965,0.953,0.0739
svmRadial,0.83,0.969,0.0441,0.0837,1,0.984,0.976,0.403
naiveBayes,0.929,0.906,0.0469,0.0893,1,0.95,0.951,0.086
randomForest,0.954,0.959,0.0978,0.177,1,0.979,0.992,0.653
svmLinear,0.963,0.914,0.0497,0.0945,1,0.955,0.978,0.154
ann,0.902,0.962,0.101,0.181,1,0.981,0.953,0.467
rpart,0.936,0.94,0.0677,0.126,1,0.969,0.942,0.506
svmRadial,0.821,0.945,0.0648,0.12,0.999,0.971,0.976,0.367
naiveBayes,0.888,0.944,0.0479,0.091,1,0.971,0.956,0.0801
randomForest,0.959,0.957,0.0693,0.129,1,0.978,0.991,0.639
svmLinear,0.94,0.937,0.0472,0.0899,1,0.967,0.982,0.232
ann,0.974,0.887,0.028,0.0544,1,0.94,0.973,0.519
rpart,0.935,0.93,0.0425,0.0812,1,0.964,0.937,0.488
svmRadial,0.784,0.956,0.0565,0.105,0.999,0.977,0.975,0.328
naiveBayes,0.84,0.94,0.0236,0.0458,1,0.969,0.952,0.0551
randomForest,0.906,0.968,0.0744,0.138,1,0.983,0.985,0.617
svmLinear,0.888,0.955,0.0536,0.101,1,0.977,0.974,0.139
naiveBayes,0.933,0.901,0.0422,0.0807,1,0.948,0.965,0.115
ann,0.951,0.878,0.0218,0.0426,1,0.935,0.954,0.424
rpart,0.876,0.97,0.0779,0.143,1,0.985,0.936,0.455
svmRadial,0.882,0.967,0.0703,0.13,1,0.983,0.978,0.533
randomForest,0.942,0.958,0.0804,0.148,1,0.978,0.99,0.675
naiveBayes,0.946,0.911,0.0341,0.0658,1,0.953,0.972,0.106
svmLinear,0.964,0.929,0.0501,0.0953,1,0.963,0.98,0.178
svmRadial,0.879,0.947,0.0601,0.112,1,0.972,0.976,0.349
ann,0.966,0.899,0.036,0.0694,1,0.947,0.972,0.472
rpart,0.9,0.934,0.0502,0.0951,1,0.966,0.916,0.0405
naiveBayes,0.88,0.943,0.0427,0.0814,1,0.971,0.959,0.0794
randomForest,0.946,0.966,0.0722,0.134,1,0.983,0.989,0.656
svmLinear,0.886,0.953,0.0499,0.0945,1,0.976,0.972,0.154
naiveBayes,0.961,0.913,0.0411,0.0788,1,0.954,0.972,0.132
svmRadial,0.87,0.971,0.0783,0.144,1,0.985,0.977,0.567
ann,0.931,0.924,0.0335,0.0646,1,0.961,0.959,0.366
rpart,0.932,0.956,0.056,0.106,1,0.977,0.967,0.481
knn,0.939,0.936,0.0495,0.094,1,0.967,0.98,0.547
naiveBayes,0.887,0.936,0.0377,0.0724,1,0.967,0.959,0.0733
randomForest,0.832,0.981,0.124,0.216,0.999,0.99,0.989,0.576
svmLinear,0.874,0.954,0.0563,0.106,1,0.976,0.97,0.141
knn,0.91,0.936,0.0401,0.0768,1,0.967,0.972,0.509
ann,0.939,0.932,0.0415,0.0795,1,0.965,0.979,0.304
rpart,0.797,0.968,0.0723,0.133,0.999,0.983,0.927,0.0447
knn,0.884,0.963,0.0715,0.132,1,0.981,0.976,0.544
knn,0.923,0.951,0.0689,0.128,1,0.975,0.979,0.595
svmRadial,0.84,0.975,0.0972,0.174,0.999,0.987,0.97,0.543
svmLinear,0.842,0.958,0.039,0.0746,1,0.978,0.967,0.14
randomForest,0.892,0.969,0.0547,0.103,1,0.984,0.982,0.542
ann,0.864,0.92,0.0214,0.0419,1,0.958,0.927,0.312
svmRadial,0.843,0.968,0.0499,0.0943,1,0.983,0.978,0.465
rpart,0.827,0.963,0.0429,0.0815,1,0.981,0.943,0.399
knn,0.849,0.955,0.0312,0.0601,1,0.977,0.967,0.444
svmLinear,0.915,0.954,0.055,0.104,1,0.976,0.977,0.146
randomForest,0.894,0.963,0.0659,0.123,1,0.981,0.987,0.605
knn,0.925,0.934,0.0443,0.0846,1,0.966,0.973,0.502
ann,0.892,0.943,0.0441,0.0841,1,0.971,0.936,0.164
naiveBayes,0.876,0.935,0.0405,0.0775,1,0.966,0.956,0.0878
rpart,0.883,0.969,0.0768,0.141,1,0.984,0.935,0.468
svmRadial,0.915,0.963,0.0684,0.127,1,0.981,0.984,0.508
svmLinear,0.933,0.948,0.0563,0.106,1,0.973,0.981,0.192
randomForest,0.962,0.958,0.0709,0.132,1,0.979,0.992,0.681
naiveBayes,0.867,0.938,0.0277,0.0536,1,0.968,0.957,0.0548
ann,0.909,0.971,0.0953,0.172,1,0.985,0.965,0.498
rpart,0.902,0.969,0.0888,0.162,1,0.984,0.966,0.5
svmRadial,0.928,0.961,0.0726,0.135,1,0.98,0.986,0.567
knn,0.878,0.95,0.0477,0.0906,1,0.974,0.968,0.514
svmLinear,0.927,0.949,0.066,0.123,1,0.974,0.977,0.195
knn,0.927,0.925,0.0547,0.103,1,0.961,0.977,0.605
knn,0.899,0.937,0.0662,0.123,0.999,0.967,0.971,0.551
naiveBayes,0.906,0.938,0.0413,0.079,1,0.968,0.961,0.065
randomForest,0.95,0.963,0.0914,0.167,1,0.981,0.992,0.731
ann,0.973,0.879,0.0302,0.0586,1,0.936,0.972,0.394
rpart,0.963,0.93,0.0506,0.0962,1,0.964,0.976,0.509
svmLinear,0.878,0.965,0.0833,0.152,1,0.982,0.973,0.241
svmRadial,0.832,0.966,0.087,0.157,0.999,0.982,0.979,0.481
randomForest,0.893,0.977,0.12,0.212,1,0.988,0.987,0.599
ann,0.842,0.966,0.0805,0.147,0.999,0.982,0.955,0.156
rpart,0.832,0.965,0.0784,0.143,0.999,0.982,0.914,0.44
svmRadial,0.853,0.974,0.106,0.188,0.999,0.987,0.974,0.551
knn,0.962,0.928,0.0495,0.0941,1,0.963,0.984,0.591
naiveBayes,0.916,0.935,0.0446,0.0851,1,0.966,0.961,0.0747
svmLinear,0.922,0.946,0.0569,0.107,1,0.972,0.977,0.234
randomForest,0.947,0.96,0.0757,0.14,1,0.979,0.989,0.709
svmRadial,0.829,0.968,0.0827,0.15,0.999,0.983,0.978,0.459
ann,0.958,0.903,0.0335,0.0647,1,0.949,0.969,0.459
rpart,0.944,0.949,0.0608,0.114,1,0.974,0.968,0.494
naiveBayes,0.928,0.92,0.0432,0.0826,1,0.958,0.96,0.102
randomForest,0.922,0.97,0.0964,0.175,1,0.985,0.99,0.652
svmLinear,0.912,0.948,0.0572,0.108,1,0.973,0.979,0.215
knn,0.875,0.956,0.0528,0.0997,1,0.977,0.964,0.492
ann,0.917,0.949,0.0587,0.11,1,0.974,0.974,0.329
rpart,0.898,0.95,0.0582,0.109,1,0.974,0.952,0.468
naiveBayes,0.861,0.938,0.0475,0.0901,0.999,0.968,0.95,0.0678
svmRadial,0.763,0.975,0.0967,0.172,0.999,0.987,0.974,0.47
randomForest,0.946,0.956,0.0536,0.101,1,0.978,0.989,0.69
svmLinear,0.947,0.939,0.0387,0.0745,1,0.968,0.98,0.318
naiveBayes,0.915,0.926,0.0417,0.0798,1,0.962,0.963,0.144
ann,0.911,0.938,0.0368,0.0707,1,0.968,0.958,0.0997
rpart,0.921,0.954,0.05,0.0948,1,0.977,0.951,0.482
svmRadial,0.887,0.951,0.045,0.0856,1,0.975,0.981,0.365
naiveBayes,0.918,0.922,0.0391,0.0749,1,0.959,0.968,0.134
randomForest,0.909,0.966,0.0749,0.138,1,0.983,0.987,0.564
knn,0.851,0.959,0.0617,0.115,1,0.979,0.956,0.518
svmLinear,0.92,0.954,0.0567,0.107,1,0.976,0.978,0.181
ann,0.871,0.932,0.0371,0.0712,1,0.964,0.941,0.373
rpart,0.859,0.96,0.0616,0.115,1,0.98,0.924,0.46
svmRadial,0.906,0.963,0.0697,0.129,1,0.981,0.983,0.495
naiveBayes,0.953,0.923,0.0313,0.0605,1,0.96,0.976,0.165
randomForest,0.802,0.98,0.0902,0.162,0.999,0.99,0.975,0.445
svmLinear,0.812,0.962,0.0503,0.0947,1,0.98,0.957,0.166
svmRadial,0.764,0.975,0.0701,0.128,0.999,0.987,0.958,0.377
ann,0.824,0.958,0.0464,0.0878,1,0.978,0.905,0.0767
rpart,0.728,0.977,0.0733,0.133,0.999,0.988,0.911,0.402
knn,0.833,0.948,0.0314,0.0605,1,0.973,0.955,0.438
naiveBayes,0.904,0.936,0.0413,0.079,1,0.967,0.958,0.0665
svmLinear,0.915,0.947,0.0637,0.119,1,0.973,0.981,0.247
knn,0.922,0.953,0.0549,0.104,1,0.976,0.977,0.556
randomForest,0.935,0.969,0.108,0.193,1,0.984,0.991,0.637
ann,0.901,0.961,0.0828,0.152,1,0.98,0.943,0.195
rpart,0.897,0.934,0.0511,0.0968,1,0.966,0.915,0.474
svmRadial,0.774,0.967,0.0841,0.152,0.999,0.983,0.974,0.372
naiveBayes,0.791,0.945,0.0344,0.066,0.999,0.971,0.935,0.0639
svmLinear,0.895,0.961,0.0721,0.133,1,0.98,0.976,0.158
randomForest,0.887,0.97,0.0906,0.164,1,0.984,0.988,0.606
svmRadial,0.854,0.973,0.0984,0.176,0.999,0.986,0.975,0.57
ann,0.75,0.979,0.109,0.19,0.999,0.989,0.893,0.404
rpart,0.891,0.963,0.0749,0.138,1,0.981,0.932,0.486
knn,0.925,0.941,0.0496,0.0941,1,0.97,0.98,0.555
naiveBayes,0.925,0.919,0.0433,0.0828,1,0.958,0.968,0.122
knn,0.924,0.945,0.0616,0.115,1,0.972,0.976,0.546
svmLinear,0.916,0.943,0.0616,0.115,1,0.97,0.977,0.224
randomForest,0.924,0.974,0.128,0.225,1,0.987,0.989,0.633
ann,0.959,0.883,0.0326,0.0631,1,0.938,0.969,0.129
svmRadial,0.743,0.969,0.0887,0.159,0.999,0.984,0.973,0.357
rpart,0.888,0.962,0.0869,0.158,1,0.98,0.949,0.101
naiveBayes,0.9,0.939,0.0478,0.0908,1,0.968,0.962,0.0884
knn,0.863,0.961,0.0736,0.136,0.999,0.98,0.968,0.539
randomForest,0.932,0.963,0.0695,0.129,1,0.981,0.986,0.669
svmLinear,0.924,0.949,0.0513,0.0972,1,0.974,0.97,0.367
ann,0.92,0.913,0.0303,0.0586,1,0.954,0.946,0.05
rpart,0.93,0.944,0.0471,0.0897,1,0.971,0.938,0.488
svmRadial,0.794,0.961,0.0568,0.106,0.999,0.98,0.975,0.369
randomForest,0.935,0.958,0.0581,0.109,1,0.979,0.989,0.691
knn,0.909,0.944,0.0535,0.101,1,0.971,0.974,0.56
naiveBayes,0.913,0.922,0.046,0.0876,1,0.959,0.965,0.158
svmLinear,0.929,0.937,0.0389,0.0746,1,0.967,0.975,0.273
ann,0.938,0.946,0.0453,0.0864,1,0.972,0.962,0.503
rpart,0.935,0.952,0.0511,0.0968,1,0.975,0.959,0.486
knn,0.89,0.955,0.0637,0.119,1,0.977,0.974,0.55
svmRadial,0.853,0.949,0.0443,0.0842,1,0.974,0.974,0.258
naiveBayes,0.922,0.851,0.018,0.0352,1,0.919,0.92,0.0487
svmLinear,0.886,0.96,0.071,0.132,1,0.979,0.974,0.138
knn,0.925,0.941,0.0395,0.0758,1,0.97,0.978,0.524
randomForest,0.898,0.972,0.0979,0.177,1,0.985,0.988,0.596
ann,0.739,0.968,0.0727,0.132,0.999,0.983,0.911,0.351
rpart,0.798,0.969,0.0823,0.149,0.999,0.984,0.931,0.418
svmRadial,0.853,0.979,0.12,0.211,0.999,0.989,0.976,0.525
randomForest,0.903,0.961,0.0788,0.145,1,0.98,0.988,0.644
svmLinear,0.946,0.942,0.0572,0.108,1,0.97,0.979,0.294
naiveBayes,0.939,0.922,0.0319,0.0618,1,0.959,0.968,0.12
ann,0.898,0.941,0.0532,0.101,1,0.969,0.957,0.384
knn,0.907,0.951,0.0532,0.101,1,0.975,0.978,0.564
rpart,0.877,0.948,0.0587,0.11,1,0.973,0.937,0.475
svmRadial,0.812,0.959,0.069,0.127,0.999,0.979,0.978,0.39
svmLinear,0.954,0.942,0.047,0.0896,1,0.97,0.978,0.155
randomForest,0.944,0.963,0.0719,0.134,1,0.981,0.988,0.615
naiveBayes,0.883,0.94,0.0478,0.0907,1,0.969,0.96,0.0823
ann,0.944,0.904,0.0288,0.0559,1,0.95,0.959,0.41
rpart,0.908,0.955,0.0573,0.108,1,0.977,0.929,0.469
svmRadial,0.861,0.953,0.0525,0.099,1,0.976,0.977,0.483
naiveBayes,0.946,0.915,0.0397,0.0762,1,0.956,0.961,0.117
knn,0.791,0.956,0.0433,0.0822,0.999,0.977,0.923,0.42
randomForest,0.847,0.973,0.088,0.159,1,0.986,0.986,0.567
svmLinear,0.868,0.958,0.0593,0.111,1,0.979,0.973,0.175
ann,0.886,0.934,0.0388,0.0743,1,0.966,0.951,0.34
rpart,0.822,0.968,0.0725,0.133,0.999,0.984,0.926,0.424
svmRadial,0.854,0.973,0.0875,0.159,1,0.986,0.975,0.496
naiveBayes,0.923,0.939,0.0438,0.0836,1,0.969,0.964,0.0686
knn,0.9,0.942,0.0578,0.109,1,0.97,0.971,0.531
randomForest,0.934,0.966,0.0696,0.13,1,0.983,0.99,0.625
svmLinear,0.923,0.947,0.0451,0.086,1,0.973,0.979,0.283
knn,0.878,0.966,0.0814,0.149,1,0.983,0.971,0.556
ann,0.921,0.921,0.0304,0.0589,1,0.959,0.962,0.397
rpart,0.928,0.96,0.059,0.111,1,0.98,0.964,0.463
svmRadial,0.789,0.956,0.046,0.087,0.999,0.977,0.974,0.321
naiveBayes,0.865,0.942,0.0434,0.0826,1,0.97,0.955,0.0878
naiveBayes,0.909,0.925,0.0318,0.0614,1,0.961,0.962,0.108
knn,0.888,0.945,0.0624,0.117,1,0.972,0.969,0.508
knn,0.898,0.947,0.0475,0.0903,1,0.972,0.971,0.557
knn,0.924,0.94,0.0404,0.0775,1,0.969,0.978,0.563
knn,0.867,0.967,0.0822,0.15,1,0.983,0.97,0.55
knn,0.926,0.937,0.0521,0.0986,1,0.968,0.977,0.521
knn,0.861,0.943,0.0435,0.0828,1,0.97,0.969,0.509
knn,0.863,0.957,0.0571,0.107,1,0.978,0.957,0.493
knn,0.915,0.937,0.038,0.0729,1,0.968,0.971,0.544
